,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
913,Going Out Like That,Reba McEntire,0MMR8NPLI0tq82FaZH14sF,2015-01-01,0.635,0.835,-4.729,0.0331,0.00191,0.201,0.476,124.012,-3.241094122169258
914,Hell on Heels,Pistol Annies,0sgnJ5LFjEy2IuQ99NEZ1C,2011-08-23,0.655,0.547,-5.829,0.0406,0.177,0.118,0.383,132.226,-3.271101778230163
915,Love Triangle,RaeLynn,3YM0vEH7taFj7OLW3dWfiu,2017-03-24,0.686,0.525,-6.721,0.0331,0.135,0.11,0.322,132.927,-3.994894188068474
916,Festival,RaeLynn,25MVz2C7HvwSh4fzAskjIK,2018-02-01,0.704,0.502,-6.506,0.117,0.0212,0.0767,0.521,119.973,-7.025089431900367
917,Like a Rodeo,Kane Brown,7z3dPHwGxeK4fD6fYFDwiS,2019-11-01,0.67,0.661,-6.798,0.0466,0.704,0.217,0.425,119.985,-7.0281936199871
918,Dear God,Hunter Hayes,6k9nsVCSf6QO1WnFsCsmVf,2019-08-16,0.647,0.68,-6.697,0.0496,0.0834,0.18,0.592,119.925,-7.078298005149373
919,Dammit,Jana Kramer,67eNiTU2mPAOOBHtcoBroh,2018-04-06,0.575,0.434,-8.328,0.0295,0.428,0.107,0.246,119.857,-7.414105527624406
920,Better Off (feat. Vince Gill) (feat. Vince Gill),Sara Evans,6xoSCb45HMjYZ09piFEQYI,2014-03-10,0.448,0.565,-5.062,0.0306,0.395,0.101,0.266,140.054,-11.128870025686606
921,Cry Pretty,Carrie Underwood,7B9UAoGiN4iMCv4s40xoiM,2018-09-14,0.374,0.742,-3.36,0.0432,0.00517,0.11,0.21,139.953,-11.309084943808816
922,Without You,Taylor Acorn,6dFn8Y9rxhnP9s5HoSnvqC,2016-12-09,0.615,0.803,-5.075,0.0451,0.00196,0.104,0.533,114.066,-12.961567923109547
923,homecoming queen?,Kelsea Ballerini,1ytCra0qH6gcHnCVQwREvu,2020-03-20,0.462,0.512,-5.443,0.0334,0.478,0.0993,0.29,114.014,-12.986604912915677
